delivery_id,order_id,route_date,route_zone,scheduled_window,delivered_at,status,temperature_flag,replacement_required,driver_notes
DEL-20038,ORD-10074,2026-02-22,west-lake,10:00-12:00,2026-02-22T11:44:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20039,ORD-10075,2026-04-07,west-lake,11:00-13:00,2026-04-07T13:08:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20040,ORD-10076,2026-04-08,west-lake,15:00-17:00,2026-04-08T16:22:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20041,ORD-10077,2026-04-14,west-lake,15:00-17:00,2026-04-14T16:23:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20042,ORD-10078,2026-05-05,west-lake,12:00-14:00,2026-05-05T19:34:00,missed_window,stable,false,rush add-on after route packed
DEL-20043,ORD-10079,2025-11-23,west-lake,10:00-12:00,2025-11-23T11:42:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20044,ORD-10080,2026-01-13,west-lake,11:00-13:00,2026-01-13T12:59:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20045,ORD-10081,2026-02-17,west-lake,12:00-14:00,2026-02-17T13:36:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20046,ORD-10082,2026-03-05,west-lake,15:00-17:00,2026-03-05T16:52:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20047,ORD-10091,2026-02-11,louisville-river,12:00-14:00,2026-02-11T14:10:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20048,ORD-10093,2026-02-23,louisville-river,10:00-12:00,2026-02-23T13:51:00,delivered_late,cold_snap,true,cold pack held longer than expected due traffic
DEL-20049,ORD-10096,2026-03-27,louisville-river,15:00-17:00,2026-03-27T16:47:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20050,ORD-10100,2025-11-02,west-lake,15:00-17:00,2025-11-02T18:38:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20051,ORD-10101,2025-11-06,west-lake,11:00-13:00,2025-11-06T12:40:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20052,ORD-10102,2025-11-04,west-lake,11:00-13:00,2025-11-04T12:49:00,delivered,high_heat,false,bag temperature elevated on arrival
DEL-20053,ORD-10103,2025-12-14,west-lake,10:00-12:00,2025-12-14T11:34:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20054,ORD-10104,2025-12-31,west-lake,10:00-12:00,2025-12-31T14:11:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20055,ORD-10105,2026-03-12,west-lake,10:00-12:00,2026-03-12T11:42:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20056,ORD-10106,2026-03-24,west-lake,10:00-12:00,2026-03-24T11:37:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20057,ORD-10107,2026-03-23,west-lake,10:00-12:00,2026-03-23T11:15:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20058,ORD-10108,2026-04-01,west-lake,10:00-12:00,2026-04-01T12:05:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20059,ORD-10109,2026-04-25,west-lake,10:00-12:00,2026-04-25T14:03:00,delivered_late,warm,true,direct handoff; acclimation note reviewed
DEL-20060,ORD-10110,2026-04-28,west-lake,15:00-17:00,2026-04-28T16:40:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20061,ORD-10111,2026-05-01,west-lake,12:00-14:00,2026-05-01T13:40:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20062,ORD-10112,2025-11-06,east-clinic,11:00-13:00,2025-11-06T12:51:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20063,ORD-10113,2025-11-14,east-clinic,10:00-12:00,2025-11-14T13:31:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20064,ORD-10114,2025-11-18,east-clinic,12:00-14:00,2025-11-18T15:29:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20065,ORD-10115,2025-11-28,east-clinic,10:00-12:00,2025-11-28T16:49:00,missed_window,stable,true,rush add-on after route packed
DEL-20066,ORD-10116,2025-12-08,east-clinic,15:00-17:00,2025-12-08T16:40:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20067,ORD-10117,2025-12-16,east-clinic,15:00-17:00,2025-12-16T16:37:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20068,ORD-10118,2025-12-24,east-clinic,10:00-12:00,2025-12-24T11:46:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20069,ORD-10119,2026-01-06,east-clinic,15:00-17:00,2026-01-06T18:24:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20070,ORD-10120,2026-01-12,east-clinic,12:00-14:00,2026-01-12T13:51:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20071,ORD-10121,2026-01-23,east-clinic,10:00-12:00,2026-01-23T11:42:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20072,ORD-10122,2026-02-07,east-clinic,15:00-17:00,2026-02-07T16:55:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20073,ORD-10123,2026-02-21,east-clinic,15:00-17:00,2026-02-21T16:39:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20074,ORD-10124,2026-03-18,east-clinic,10:00-12:00,2026-03-18T12:39:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20075,ORD-10125,2026-04-03,east-clinic,12:00-14:00,2026-04-03T13:27:00,delivered,warm,false,direct handoff; acclimation note reviewed
DEL-20076,ORD-10126,2025-11-12,west-lake,15:00-17:00,2025-11-12T16:04:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20077,ORD-10127,2025-11-25,west-lake,11:00-13:00,2025-11-25T12:52:00,delivered,high_heat,false,bag temperature elevated on arrival
DEL-20078,ORD-10128,2025-11-26,west-lake,15:00-17:00,2025-11-26T17:05:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20079,ORD-10129,2025-12-06,west-lake,12:00-14:00,2025-12-06T13:21:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20080,ORD-10130,2025-12-14,west-lake,11:00-13:00,2025-12-14T12:22:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20081,ORD-10131,2025-12-19,west-lake,15:00-17:00,2025-12-19T17:07:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20082,ORD-10132,2025-12-19,west-lake,12:00-14:00,2025-12-19T13:14:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20083,ORD-10133,2025-12-23,west-lake,10:00-12:00,2025-12-23T11:18:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20084,ORD-10134,2026-01-19,west-lake,15:00-17:00,2026-01-19T16:26:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20085,ORD-10135,2026-02-24,west-lake,10:00-12:00,2026-02-24T11:10:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20086,ORD-10136,2026-03-05,west-lake,10:00-12:00,2026-03-05T11:25:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20087,ORD-10137,2026-03-24,west-lake,15:00-17:00,2026-03-24T16:20:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20088,ORD-10138,2026-03-26,west-lake,11:00-13:00,2026-03-26T14:52:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20089,ORD-10139,2025-11-17,north-river,10:00-12:00,2025-11-17T11:17:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20090,ORD-10140,2025-11-24,north-river,12:00-14:00,2025-11-24T13:03:00,delivered,warm,false,direct handoff; acclimation note reviewed
DEL-20091,ORD-10141,2025-12-16,north-river,11:00-13:00,2025-12-16T12:14:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20092,ORD-10142,2026-02-08,north-river,12:00-14:00,2026-02-08T12:58:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20093,ORD-10143,2026-02-27,north-river,10:00-12:00,2026-02-27T11:43:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20094,ORD-10144,2026-03-19,north-river,11:00-13:00,2026-03-19T12:19:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20095,ORD-10145,2026-05-01,north-river,11:00-13:00,2026-05-01T12:25:00,delivered,warm,false,direct handoff; acclimation note reviewed
DEL-20096,ORD-10147,2025-12-13,south-belt,10:00-12:00,2025-12-13T17:14:00,missed_window,high_heat,true,customer not available during first attempt; second pass pushed outside safe window
DEL-20097,ORD-10148,2026-01-06,south-belt,12:00-14:00,2026-01-06T15:45:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20098,ORD-10149,2026-01-09,south-belt,12:00-14:00,2026-01-09T18:59:00,missed_window,stable,true,customer not available during first attempt; second pass pushed outside safe window
DEL-20099,ORD-10150,2026-02-08,south-belt,12:00-14:00,2026-02-08T15:26:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20100,ORD-10151,2026-02-20,south-belt,15:00-17:00,2026-02-20T18:42:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20101,ORD-10152,2026-02-27,south-belt,10:00-12:00,2026-02-27T11:20:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20102,ORD-10153,2026-02-27,south-belt,10:00-12:00,2026-02-27T11:24:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20103,ORD-10154,2026-03-06,south-belt,12:00-14:00,2026-03-06T13:08:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20104,ORD-10155,2026-03-07,south-belt,12:00-14:00,2026-03-07T19:02:00,missed_window,stable,false,customer not available during first attempt; second pass pushed outside safe window
DEL-20105,ORD-10156,2026-04-24,south-belt,10:00-12:00,2026-04-24T11:03:00,delivered,warm,false,direct handoff; acclimation note reviewed
DEL-20106,ORD-10157,2025-11-05,west-lake,11:00-13:00,2025-11-05T14:20:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20107,ORD-10158,2025-11-24,west-lake,12:00-14:00,2025-11-24T13:46:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20108,ORD-10159,2025-11-27,west-lake,15:00-17:00,2025-11-27T15:58:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20109,ORD-10160,2025-12-11,west-lake,11:00-13:00,2025-12-11T14:28:00,delivered_late,stable,false,rush add-on after route packed
DEL-20110,ORD-10161,2025-12-26,west-lake,11:00-13:00,2025-12-26T14:29:00,delivered_late,high_heat,true,bag temperature elevated on arrival
DEL-20111,ORD-10162,2025-12-29,west-lake,12:00-14:00,2025-12-29T13:58:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20112,ORD-10163,2026-02-07,west-lake,10:00-12:00,2026-02-07T11:41:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20113,ORD-10164,2026-03-30,west-lake,11:00-13:00,2026-03-30T12:23:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20114,ORD-10165,2026-04-02,west-lake,15:00-17:00,2026-04-02T16:01:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20115,ORD-10166,2026-04-09,west-lake,12:00-14:00,2026-04-09T15:44:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20116,ORD-10167,2026-05-02,west-lake,10:00-12:00,2026-05-02T12:12:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20117,ORD-10168,2026-05-06,west-lake,12:00-14:00,2026-05-06T13:57:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20118,ORD-10169,2025-12-10,louisville-river,11:00-13:00,2025-12-10T14:20:00,delivered_late,high_heat,true,bag temperature elevated on arrival
DEL-20119,ORD-10170,2025-12-15,louisville-river,12:00-14:00,2025-12-15T15:48:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20120,ORD-10171,2026-01-12,louisville-river,15:00-17:00,2026-01-12T16:53:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20121,ORD-10172,2026-02-21,louisville-river,12:00-14:00,2026-02-21T16:06:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20122,ORD-10173,2026-03-15,louisville-river,12:00-14:00,2026-03-15T15:34:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20123,ORD-10174,2026-04-01,louisville-river,15:00-17:00,2026-04-01T16:10:00,delivered,warm,false,direct handoff; acclimation note reviewed
DEL-20124,ORD-10175,2026-04-10,louisville-river,11:00-13:00,2026-04-10T13:01:00,delivered,high_heat,false,bag temperature elevated on arrival
DEL-20125,ORD-10176,2026-04-29,louisville-river,10:00-12:00,2026-04-29T12:05:00,delivered,high_heat,false,bag temperature elevated on arrival
DEL-20126,ORD-10177,2025-12-16,south-belt,15:00-17:00,2025-12-16T16:19:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20127,ORD-10178,2026-02-05,south-belt,15:00-17:00,2026-02-05T19:21:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20128,ORD-10179,2026-02-08,south-belt,10:00-12:00,2026-02-08T13:15:00,delivered_late,cold_snap,true,cold pack held longer than expected due traffic
DEL-20129,ORD-10180,2026-03-25,south-belt,10:00-12:00,2026-03-25T17:56:00,missed_window,stable,true,customer not available during first attempt; second pass pushed outside safe window
DEL-20130,ORD-10181,2026-04-10,south-belt,10:00-12:00,2026-04-10T13:52:00,delivered_late,high_heat,true,bag temperature elevated on arrival
DEL-20131,ORD-10182,2026-04-27,south-belt,10:00-12:00,2026-04-27T11:56:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20132,ORD-10183,2026-05-02,south-belt,11:00-13:00,2026-05-02T12:30:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20133,ORD-10184,2025-11-14,louisville-river,10:00-12:00,2025-11-14T10:56:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20134,ORD-10185,2025-11-25,louisville-river,10:00-12:00,2025-11-25T11:23:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20135,ORD-10186,2025-11-27,louisville-river,10:00-12:00,2025-11-27T11:27:00,delivered,high_heat,false,bag temperature elevated on arrival
DEL-20136,ORD-10187,2025-12-06,louisville-river,11:00-13:00,2025-12-06T14:37:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20137,ORD-10188,2025-12-18,louisville-river,10:00-12:00,2025-12-18T11:34:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20138,ORD-10189,2025-12-24,louisville-river,11:00-13:00,2025-12-24T12:33:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20139,ORD-10190,2026-01-03,louisville-river,12:00-14:00,2026-01-03T14:16:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20140,ORD-10191,2026-01-13,louisville-river,11:00-13:00,2026-01-13T12:48:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20141,ORD-10192,2026-04-03,louisville-river,11:00-13:00,2026-04-03T12:40:00,delivered,warm,false,direct handoff; acclimation note reviewed
DEL-20142,ORD-10193,2026-04-13,louisville-river,10:00-12:00,2026-04-13T11:04:00,delivered,warm,false,direct handoff; acclimation note reviewed
DEL-20143,ORD-10194,2026-05-01,louisville-river,15:00-17:00,2026-05-01T16:43:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20144,ORD-10195,2025-11-25,dayton-core,15:00-17:00,2025-11-25T17:44:00,delivered_late,high_heat,true,bag temperature elevated on arrival
DEL-20145,ORD-10196,2025-11-28,dayton-core,11:00-13:00,2025-11-28T12:23:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20146,ORD-10197,2025-12-06,dayton-core,12:00-14:00,2025-12-06T14:03:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20147,ORD-10198,2025-12-16,dayton-core,10:00-12:00,2025-12-16T11:19:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20148,ORD-10199,2026-02-03,dayton-core,11:00-13:00,2026-02-03T12:22:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20149,ORD-10200,2026-02-23,dayton-core,10:00-12:00,2026-02-23T11:48:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20150,ORD-10201,2026-03-21,dayton-core,10:00-12:00,2026-03-21T11:52:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20151,ORD-10202,2026-05-02,dayton-core,11:00-13:00,2026-05-02T15:07:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20152,ORD-10203,2025-11-25,east-clinic,10:00-12:00,2025-11-25T11:35:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20153,ORD-10204,2025-12-07,east-clinic,10:00-12:00,2025-12-07T11:21:00,delivered,warm,false,direct handoff; acclimation note reviewed
DEL-20154,ORD-10205,2025-12-13,east-clinic,11:00-13:00,2025-12-13T12:12:00,delivered,high_heat,false,bag temperature elevated on arrival
DEL-20155,ORD-10206,2025-12-12,east-clinic,15:00-17:00,2025-12-12T16:42:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20156,ORD-10207,2026-02-03,east-clinic,15:00-17:00,2026-02-03T16:49:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20157,ORD-10208,2026-02-06,east-clinic,11:00-13:00,2026-02-06T14:15:00,delivered_late,stable,true,direct handoff; acclimation note reviewed
DEL-20158,ORD-10209,2026-02-12,east-clinic,12:00-14:00,2026-02-12T13:30:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20159,ORD-10210,2026-02-12,east-clinic,11:00-13:00,2026-02-12T12:53:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20160,ORD-10211,2026-02-14,east-clinic,12:00-14:00,2026-02-14T13:25:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20161,ORD-10212,2026-02-24,east-clinic,12:00-14:00,2026-02-24T14:08:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20162,ORD-10213,2026-02-24,east-clinic,15:00-17:00,2026-02-24T16:28:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20163,ORD-10214,2026-03-27,east-clinic,11:00-13:00,2026-03-27T12:35:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20164,ORD-10215,2026-05-02,east-clinic,15:00-17:00,2026-05-02T16:30:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20165,ORD-10216,2026-05-07,east-clinic,15:00-17:00,2026-05-07T16:30:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20166,ORD-10217,2025-11-05,west-lake,12:00-14:00,2025-11-05T13:20:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20167,ORD-10218,2025-11-07,west-lake,15:00-17:00,2025-11-07T16:32:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20168,ORD-10219,2025-11-27,west-lake,11:00-13:00,2025-11-27T12:38:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20169,ORD-10220,2025-12-06,west-lake,11:00-13:00,2025-12-06T14:04:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20170,ORD-10222,2026-01-03,west-lake,15:00-17:00,2026-01-03T22:15:00,missed_window,stable,false,rush add-on after route packed
DEL-20171,ORD-10223,2026-01-14,west-lake,12:00-14:00,2026-01-14T14:46:00,delivered_late,cold_snap,true,cold pack held longer than expected due traffic
DEL-20172,ORD-10224,2026-01-23,west-lake,12:00-14:00,2026-01-23T13:22:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20173,ORD-10225,2026-01-29,west-lake,10:00-12:00,2026-01-29T13:28:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20174,ORD-10226,2026-02-13,west-lake,11:00-13:00,2026-02-13T12:33:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20175,ORD-10227,2026-04-06,west-lake,11:00-13:00,2026-04-06T12:31:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20176,ORD-10228,2026-04-17,west-lake,10:00-12:00,2026-04-17T11:47:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20177,ORD-10229,2026-04-25,west-lake,11:00-13:00,2026-04-25T12:33:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20178,ORD-10230,2025-12-04,dayton-core,11:00-13:00,2025-12-04T12:22:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20179,ORD-10231,2026-01-05,dayton-core,10:00-12:00,2026-01-05T11:11:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20180,ORD-10232,2026-01-17,dayton-core,15:00-17:00,2026-01-17T16:21:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20181,ORD-10233,2026-01-20,dayton-core,10:00-12:00,2026-01-20T11:24:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20182,ORD-10234,2026-01-27,dayton-core,12:00-14:00,2026-01-27T15:49:00,delivered_late,stable,true,rush add-on after route packed
DEL-20183,ORD-10235,2026-02-13,dayton-core,11:00-13:00,2026-02-13T12:41:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20184,ORD-10236,2026-02-23,dayton-core,15:00-17:00,2026-02-23T16:53:00,delivered,cold_snap,false,cold pack held longer than expected due traffic
DEL-20185,ORD-10237,2026-03-08,dayton-core,15:00-17:00,2026-03-08T16:37:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20186,ORD-10238,2026-03-09,dayton-core,15:00-17:00,2026-03-09T16:42:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20187,ORD-10239,2026-04-02,dayton-core,12:00-14:00,2026-04-02T13:36:00,delivered,stable,false,direct handoff; acclimation note reviewed
DEL-20188,ORD-10240,2026-04-13,dayton-core,11:00-13:00,2026-04-13T14:34:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20189,ORD-10241,2026-04-12,dayton-core,12:00-14:00,2026-04-12T15:42:00,delivered_late,stable,false,direct handoff; acclimation note reviewed
DEL-20190,ORD-10242,2026-04-26,dayton-core,15:00-17:00,2026-04-26T16:34:00,delivered,stable,false,direct handoff; acclimation note reviewed
