visit_id,customer_id,service_date,service_type,technician_name,issue_found,followup_required,visit_value,notes
VIS-30084,CUST-0154,2026-05-02,monthly_maintenance,Mei Chen,feeding schedule drifted between staff,false,68,service visit should feel routine and stabilize the account
VIS-30085,CUST-0156,2025-12-29,monthly_maintenance,Luis Mendez,sump evaporation swings,false,18,service visit should feel routine and stabilize the account
VIS-30086,CUST-0156,2026-02-09,monthly_maintenance,Nora Bell,filter sock clogged,false,16,service visit should feel routine and stabilize the account
VIS-30087,CUST-0156,2026-04-29,monthly_maintenance,Luis Mendez,feeding schedule drifted between staff,false,28,service visit should feel routine and stabilize the account
VIS-30088,CUST-0157,2025-11-14,monthly_maintenance,Nora Bell,sump evaporation swings,true,95,service visit should feel routine and stabilize the account
VIS-30089,CUST-0157,2025-12-11,monthly_maintenance,Nora Bell,top-off reservoir running dry,false,48,service visit should feel routine and stabilize the account
VIS-30090,CUST-0159,2026-03-08,monthly_maintenance,Nora Bell,filter sock clogged,true,28,service visit should feel routine and stabilize the account
VIS-30091,CUST-0159,2026-04-12,monthly_maintenance,Ari Patel,feeding schedule drifted between staff,false,18,service visit should feel routine and stabilize the account
VIS-30092,CUST-0160,2025-11-08,monthly_maintenance,Luis Mendez,feeding schedule drifted between staff,true,42,service visit should feel routine and stabilize the account
VIS-30093,CUST-0163,2025-11-05,monthly_maintenance,Luis Mendez,filter sock clogged,false,90,service visit should feel routine and stabilize the account
VIS-30094,CUST-0164,2025-11-30,monthly_maintenance,Luis Mendez,filter sock clogged,false,78,service visit should feel routine and stabilize the account
VIS-30095,CUST-0164,2026-03-01,monthly_maintenance,Luis Mendez,sump evaporation swings,false,36,service visit should feel routine and stabilize the account
VIS-30096,CUST-0166,2026-04-09,monthly_maintenance,Mei Chen,sump evaporation swings,false,95,service visit should feel routine and stabilize the account
VIS-30097,CUST-0166,2026-05-02,monthly_maintenance,Luis Mendez,top-off reservoir running dry,false,18,service visit should feel routine and stabilize the account
VIS-30098,CUST-0167,2026-02-11,monthly_maintenance,Luis Mendez,sump evaporation swings,false,90,service visit should feel routine and stabilize the account
VIS-30099,CUST-0168,2026-03-25,monthly_maintenance,Nora Bell,top-off reservoir running dry,true,18,service visit should feel routine and stabilize the account
VIS-30100,CUST-0168,2026-04-22,monthly_maintenance,Mei Chen,sump evaporation swings,false,28,service visit should feel routine and stabilize the account
VIS-30101,CUST-0169,2026-04-02,monthly_maintenance,Mei Chen,filter sock clogged,true,42,service visit should feel routine and stabilize the account
VIS-30102,CUST-0170,2026-03-14,monthly_maintenance,Ari Patel,filter sock clogged,true,128,service visit should feel routine and stabilize the account
VIS-30103,CUST-0171,2025-11-27,monthly_maintenance,Ari Patel,filter sock clogged,true,54,service visit should feel routine and stabilize the account
VIS-30104,CUST-0171,2026-04-27,monthly_maintenance,Ari Patel,top-off reservoir running dry,false,95,service visit should feel routine and stabilize the account
VIS-30105,CUST-0172,2025-11-14,monthly_maintenance,Mei Chen,top-off reservoir running dry,false,95,service visit should feel routine and stabilize the account
VIS-30106,CUST-0172,2026-01-08,monthly_maintenance,Nora Bell,filter sock clogged,false,48,service visit should feel routine and stabilize the account
VIS-30107,CUST-0172,2026-01-21,monthly_maintenance,Luis Mendez,sump evaporation swings,false,18,service visit should feel routine and stabilize the account
VIS-30108,CUST-0173,2026-02-06,monthly_maintenance,Mei Chen,top-off reservoir running dry,false,189,service visit should feel routine and stabilize the account
VIS-30109,CUST-0174,2025-11-10,monthly_maintenance,Ari Patel,top-off reservoir running dry,true,90,service visit should feel routine and stabilize the account
VIS-30110,CUST-0175,2025-12-10,monthly_maintenance,Rosa Kim,feeding schedule drifted between staff,true,90,service visit should feel routine and stabilize the account
VIS-30111,CUST-0175,2025-12-15,monthly_maintenance,Mei Chen,feeding schedule drifted between staff,false,90,service visit should feel routine and stabilize the account
VIS-30112,CUST-0175,2026-01-02,monthly_maintenance,Ari Patel,feeding schedule drifted between staff,false,84,service visit should feel routine and stabilize the account
VIS-30113,CUST-0175,2026-01-28,monthly_maintenance,Nora Bell,filter sock clogged,true,78,service visit should feel routine and stabilize the account
VIS-30114,CUST-0175,2026-02-04,monthly_maintenance,Mei Chen,sump evaporation swings,false,48,service visit should feel routine and stabilize the account
VIS-30115,CUST-0175,2026-04-02,monthly_maintenance,Nora Bell,feeding schedule drifted between staff,true,42,service visit should feel routine and stabilize the account
VIS-30116,CUST-0176,2026-01-04,monthly_maintenance,Ari Patel,top-off reservoir running dry,false,68,service visit should feel routine and stabilize the account
VIS-30117,CUST-0176,2026-01-08,monthly_maintenance,Ari Patel,filter sock clogged,false,68,service visit should feel routine and stabilize the account
VIS-30118,CUST-0177,2026-02-27,monthly_maintenance,Rosa Kim,feeding schedule drifted between staff,true,42,service visit should feel routine and stabilize the account
VIS-30119,CUST-0177,2026-03-05,monthly_maintenance,Luis Mendez,feeding schedule drifted between staff,true,28,service visit should feel routine and stabilize the account
VIS-30120,CUST-0178,2025-12-27,monthly_maintenance,Mei Chen,feeding schedule drifted between staff,false,34,service visit should feel routine and stabilize the account
VIS-30121,CUST-0179,2025-12-06,monthly_maintenance,Mei Chen,top-off reservoir running dry,true,90,service visit should feel routine and stabilize the account
VIS-30122,CUST-0179,2025-12-07,monthly_maintenance,Rosa Kim,filter sock clogged,false,34,service visit should feel routine and stabilize the account
VIS-30123,CUST-0179,2026-02-03,monthly_maintenance,Nora Bell,filter sock clogged,true,62,service visit should feel routine and stabilize the account
VIS-30124,CUST-0179,2026-02-25,monthly_maintenance,Rosa Kim,filter sock clogged,false,128,service visit should feel routine and stabilize the account
VIS-30125,CUST-0179,2026-03-18,monthly_maintenance,Mei Chen,filter sock clogged,true,54,service visit should feel routine and stabilize the account
VIS-30126,CUST-0180,2025-11-13,monthly_maintenance,Nora Bell,feeding schedule drifted between staff,false,90,service visit should feel routine and stabilize the account
VIS-30127,CUST-0180,2026-01-03,monthly_maintenance,Rosa Kim,top-off reservoir running dry,true,90,service visit should feel routine and stabilize the account
VIS-30128,CUST-0180,2026-01-11,monthly_maintenance,Rosa Kim,top-off reservoir running dry,false,68,service visit should feel routine and stabilize the account
VIS-30129,CUST-0180,2026-04-19,monthly_maintenance,Luis Mendez,top-off reservoir running dry,true,189,service visit should feel routine and stabilize the account
VIS-30130,CUST-0181,2025-11-21,monthly_maintenance,Nora Bell,sump evaporation swings,false,90,service visit should feel routine and stabilize the account
VIS-30131,CUST-0181,2026-02-18,monthly_maintenance,Ari Patel,filter sock clogged,true,95,service visit should feel routine and stabilize the account
VIS-30132,CUST-0181,2026-03-04,monthly_maintenance,Nora Bell,sump evaporation swings,true,36,service visit should feel routine and stabilize the account
VIS-30133,CUST-0181,2026-03-10,monthly_maintenance,Luis Mendez,sump evaporation swings,false,90,service visit should feel routine and stabilize the account
VIS-30134,CUST-0181,2026-05-06,monthly_maintenance,Luis Mendez,top-off reservoir running dry,true,28,service visit should feel routine and stabilize the account
VIS-30135,CUST-0183,2025-11-23,monthly_maintenance,Mei Chen,top-off reservoir running dry,false,34,service visit should feel routine and stabilize the account
VIS-30136,CUST-0183,2026-03-02,monthly_maintenance,Rosa Kim,top-off reservoir running dry,false,95,service visit should feel routine and stabilize the account
VIS-30137,CUST-0183,2026-04-25,monthly_maintenance,Rosa Kim,feeding schedule drifted between staff,false,62,service visit should feel routine and stabilize the account
VIS-30138,CUST-0184,2026-02-23,monthly_maintenance,Mei Chen,top-off reservoir running dry,true,36,service visit should feel routine and stabilize the account
VIS-30139,CUST-0186,2025-11-02,monthly_maintenance,Mei Chen,top-off reservoir running dry,true,90,service visit should feel routine and stabilize the account
VIS-30140,CUST-0186,2025-12-08,monthly_maintenance,Mei Chen,top-off reservoir running dry,false,90,service visit should feel routine and stabilize the account
VIS-30141,CUST-0187,2026-04-06,monthly_maintenance,Ari Patel,feeding schedule drifted between staff,false,189,service visit should feel routine and stabilize the account
VIS-30142,CUST-0188,2025-12-05,monthly_maintenance,Ari Patel,top-off reservoir running dry,true,18,service visit should feel routine and stabilize the account
VIS-30143,CUST-0188,2025-12-20,monthly_maintenance,Rosa Kim,sump evaporation swings,false,68,service visit should feel routine and stabilize the account
VIS-30144,CUST-0189,2026-04-07,monthly_maintenance,Luis Mendez,sump evaporation swings,false,84,service visit should feel routine and stabilize the account
VIS-30145,CUST-0189,2026-04-08,monthly_maintenance,Luis Mendez,feeding schedule drifted between staff,true,42,service visit should feel routine and stabilize the account
VIS-30146,CUST-0190,2026-02-25,monthly_maintenance,Rosa Kim,filter sock clogged,false,28,service visit should feel routine and stabilize the account
VIS-30147,CUST-0191,2026-01-09,monthly_maintenance,Mei Chen,filter sock clogged,false,36,service visit should feel routine and stabilize the account
VIS-30148,CUST-0192,2025-11-20,monthly_maintenance,Luis Mendez,top-off reservoir running dry,true,128,service visit should feel routine and stabilize the account
VIS-30149,CUST-0193,2025-11-16,monthly_maintenance,Luis Mendez,sump evaporation swings,true,90,service visit should feel routine and stabilize the account
VIS-30150,CUST-0193,2026-01-18,monthly_maintenance,Mei Chen,top-off reservoir running dry,false,42,service visit should feel routine and stabilize the account
VIS-30151,CUST-0193,2026-02-17,monthly_maintenance,Mei Chen,sump evaporation swings,true,90,service visit should feel routine and stabilize the account
VIS-30152,CUST-0194,2025-11-04,monthly_maintenance,Ari Patel,filter sock clogged,true,78,service visit should feel routine and stabilize the account
VIS-30153,CUST-0194,2025-12-01,monthly_maintenance,Rosa Kim,feeding schedule drifted between staff,false,90,service visit should feel routine and stabilize the account
VIS-30154,CUST-0194,2026-03-08,monthly_maintenance,Rosa Kim,sump evaporation swings,true,62,service visit should feel routine and stabilize the account
VIS-30155,CUST-0194,2026-03-20,monthly_maintenance,Luis Mendez,sump evaporation swings,false,78,service visit should feel routine and stabilize the account
VIS-30156,CUST-0195,2025-11-27,monthly_maintenance,Mei Chen,feeding schedule drifted between staff,false,34,service visit should feel routine and stabilize the account
VIS-30157,CUST-0195,2026-03-15,monthly_maintenance,Luis Mendez,filter sock clogged,true,36,service visit should feel routine and stabilize the account
VIS-30158,CUST-0196,2025-11-27,monthly_maintenance,Rosa Kim,filter sock clogged,true,34,service visit should feel routine and stabilize the account
VIS-30159,CUST-0196,2025-12-01,monthly_maintenance,Rosa Kim,feeding schedule drifted between staff,false,42,service visit should feel routine and stabilize the account
VIS-30160,CUST-0196,2026-03-21,monthly_maintenance,Luis Mendez,filter sock clogged,false,132,service visit should feel routine and stabilize the account
VIS-30161,CUST-0197,2026-01-03,monthly_maintenance,Nora Bell,top-off reservoir running dry,false,90,service visit should feel routine and stabilize the account
VIS-30162,CUST-0199,2026-04-19,monthly_maintenance,Luis Mendez,feeding schedule drifted between staff,false,42,service visit should feel routine and stabilize the account
VIS-30163,CUST-0200,2025-11-07,monthly_maintenance,Luis Mendez,feeding schedule drifted between staff,true,42,service visit should feel routine and stabilize the account
VIS-30164,CUST-0201,2026-03-04,monthly_maintenance,Nora Bell,filter sock clogged,false,90,service visit should feel routine and stabilize the account
VIS-30165,CUST-0202,2025-12-10,monthly_maintenance,Rosa Kim,feeding schedule drifted between staff,true,62,service visit should feel routine and stabilize the account
VIS-30166,CUST-0202,2026-01-18,monthly_maintenance,Rosa Kim,filter sock clogged,false,24,service visit should feel routine and stabilize the account
VIS-30167,CUST-0203,2025-12-26,monthly_maintenance,Ari Patel,feeding schedule drifted between staff,false,16,service visit should feel routine and stabilize the account
VIS-30168,CUST-0203,2026-03-06,monthly_maintenance,Luis Mendez,sump evaporation swings,false,62,service visit should feel routine and stabilize the account
VIS-30169,CUST-0205,2026-02-25,monthly_maintenance,Nora Bell,filter sock clogged,false,34,service visit should feel routine and stabilize the account
VIS-30170,CUST-0205,2026-03-17,monthly_maintenance,Ari Patel,top-off reservoir running dry,false,34,service visit should feel routine and stabilize the account
VIS-30171,CUST-0205,2026-04-03,monthly_maintenance,Nora Bell,sump evaporation swings,true,36,service visit should feel routine and stabilize the account
VIS-30172,CUST-0205,2026-04-21,monthly_maintenance,Luis Mendez,feeding schedule drifted between staff,false,90,service visit should feel routine and stabilize the account
VIS-30173,CUST-0206,2025-12-06,monthly_maintenance,Nora Bell,feeding schedule drifted between staff,false,132,service visit should feel routine and stabilize the account
VIS-30174,CUST-0206,2026-01-12,monthly_maintenance,Rosa Kim,top-off reservoir running dry,false,16,service visit should feel routine and stabilize the account
VIS-30175,CUST-0206,2026-01-25,monthly_maintenance,Nora Bell,feeding schedule drifted between staff,true,48,service visit should feel routine and stabilize the account
VIS-30176,CUST-0207,2026-04-25,monthly_maintenance,Luis Mendez,sump evaporation swings,false,90,service visit should feel routine and stabilize the account
VIS-30177,CUST-0208,2026-01-04,monthly_maintenance,Nora Bell,top-off reservoir running dry,false,189,service visit should feel routine and stabilize the account
VIS-30178,CUST-0208,2026-03-01,monthly_maintenance,Rosa Kim,feeding schedule drifted between staff,true,48,service visit should feel routine and stabilize the account
VIS-30179,CUST-0209,2026-01-22,monthly_maintenance,Rosa Kim,sump evaporation swings,true,16,service visit should feel routine and stabilize the account
VIS-30180,CUST-0209,2026-03-21,monthly_maintenance,Nora Bell,filter sock clogged,true,128,service visit should feel routine and stabilize the account
VIS-30181,CUST-0210,2025-12-23,monthly_maintenance,Mei Chen,top-off reservoir running dry,true,95,service visit should feel routine and stabilize the account
VIS-30182,CUST-0210,2026-01-03,monthly_maintenance,Ari Patel,sump evaporation swings,false,132,service visit should feel routine and stabilize the account
VIS-30183,CUST-0210,2026-02-22,monthly_maintenance,Rosa Kim,sump evaporation swings,false,68,service visit should feel routine and stabilize the account
VIS-30184,CUST-0210,2026-04-22,monthly_maintenance,Luis Mendez,top-off reservoir running dry,true,95,service visit should feel routine and stabilize the account
VIS-30185,CUST-0211,2025-11-25,monthly_maintenance,Nora Bell,top-off reservoir running dry,false,128,service visit should feel routine and stabilize the account
VIS-30186,CUST-0211,2025-12-28,monthly_maintenance,Nora Bell,feeding schedule drifted between staff,true,18,service visit should feel routine and stabilize the account
VIS-30187,CUST-0211,2026-03-05,monthly_maintenance,Luis Mendez,top-off reservoir running dry,true,68,service visit should feel routine and stabilize the account
VIS-30188,CUST-0212,2026-01-11,monthly_maintenance,Ari Patel,feeding schedule drifted between staff,true,24,service visit should feel routine and stabilize the account
VIS-30189,CUST-0212,2026-04-05,monthly_maintenance,Luis Mendez,filter sock clogged,false,24,service visit should feel routine and stabilize the account
VIS-30190,CUST-0213,2026-01-28,monthly_maintenance,Luis Mendez,sump evaporation swings,true,90,service visit should feel routine and stabilize the account
VIS-30191,CUST-0214,2026-01-05,monthly_maintenance,Ari Patel,sump evaporation swings,true,90,service visit should feel routine and stabilize the account
VIS-30192,CUST-0214,2026-03-12,monthly_maintenance,Rosa Kim,sump evaporation swings,false,90,service visit should feel routine and stabilize the account
VIS-30193,CUST-0215,2025-12-24,monthly_maintenance,Ari Patel,top-off reservoir running dry,false,24,service visit should feel routine and stabilize the account
VIS-30194,CUST-0215,2026-03-31,monthly_maintenance,Rosa Kim,sump evaporation swings,false,48,service visit should feel routine and stabilize the account
VIS-30195,CUST-0215,2026-05-02,monthly_maintenance,Rosa Kim,filter sock clogged,false,34,service visit should feel routine and stabilize the account
VIS-30196,CUST-0217,2025-12-27,monthly_maintenance,Rosa Kim,feeding schedule drifted between staff,true,34,service visit should feel routine and stabilize the account
VIS-30197,CUST-0217,2026-01-05,monthly_maintenance,Rosa Kim,top-off reservoir running dry,false,68,service visit should feel routine and stabilize the account
VIS-30198,CUST-0217,2026-04-04,monthly_maintenance,Ari Patel,filter sock clogged,false,54,service visit should feel routine and stabilize the account
VIS-30199,CUST-0218,2026-04-29,monthly_maintenance,Luis Mendez,top-off reservoir running dry,true,24,service visit should feel routine and stabilize the account
VIS-30200,CUST-0219,2025-12-18,monthly_maintenance,Luis Mendez,top-off reservoir running dry,true,132,service visit should feel routine and stabilize the account
VIS-30201,CUST-0220,2026-04-03,monthly_maintenance,Rosa Kim,feeding schedule drifted between staff,false,34,service visit should feel routine and stabilize the account
VIS-30202,CUST-0220,2026-05-06,monthly_maintenance,Ari Patel,top-off reservoir running dry,false,132,service visit should feel routine and stabilize the account
VIS-30203,CUST-0221,2026-02-05,monthly_maintenance,Mei Chen,top-off reservoir running dry,false,132,service visit should feel routine and stabilize the account
